region_pair,arch,tunnel,workload,loss_pct,n_runs,connect_max_ms_mean,connect_max_ms_stdev,connect_mean_ms_mean,connect_mean_ms_stdev,connect_min_ms_mean,connect_min_ms_stdev,connect_sd_ms_mean,connect_sd_ms_stdev,cpu_pct_mean_mean,cpu_pct_mean_stdev,goodput_tcp_mbps_mean,goodput_tcp_mbps_stdev,goodput_udp_mbps_mean,goodput_udp_mbps_stdev,h2load_done_mean,h2load_done_stdev,h2load_errored_mean,h2load_errored_stdev,h2load_failed_mean,h2load_failed_stdev,h2load_succeeded_mean,h2load_succeeded_stdev,h2load_total_mean,h2load_total_stdev,http_2xx_mean,http_2xx_stdev,http_4xx_mean,http_4xx_stdev,http_5xx_mean,http_5xx_stdev,http_success_pct_mean,http_success_pct_stdev,n_curl_attempts_mean,n_curl_attempts_stdev,n_curl_ok_mean,n_curl_ok_stdev,observed_loss_pct_mean,observed_loss_pct_stdev,req_max_ms_mean,req_max_ms_stdev,req_mean_ms_mean,req_mean_ms_stdev,req_min_ms_mean,req_min_ms_stdev,req_per_sec_mean,req_per_sec_stdev,req_sd_ms_mean,req_sd_ms_stdev,retrans_count_mean,retrans_count_stdev,rtt_max_ms_mean,rtt_max_ms_stdev,rtt_mdev_ms_mean,rtt_mdev_ms_stdev,rtt_mean_ms_mean,rtt_mean_ms_stdev,rtt_min_ms_mean,rtt_min_ms_stdev,rx_bytes_delta_mean,rx_bytes_delta_stdev,ttfb_max_ms_mean,ttfb_max_ms_stdev,ttfb_mean_ms_mean,ttfb_mean_ms_stdev,ttfb_min_ms_mean,ttfb_min_ms_stdev,ttfb_p50_ms_mean,ttfb_p50_ms_stdev,ttfb_p95_ms_mean,ttfb_p95_ms_stdev,ttfb_p99_ms_mean,ttfb_p99_ms_stdev,ttfb_sd_ms_mean,ttfb_sd_ms_stdev,tx_bytes_delta_mean,tx_bytes_delta_stdev,anomaly_count
HIGH-arm,arm64,wireguard-udp,ssh-interactive,1.0,3,,,,,,,,,0.945,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067,0.058,,,,,,,,,,,,,200.48,1.119,0.218,0.032,197.196,0.027,196.783,0.031,130766.667,154.73,,,,,,,,,,,,,,,130708,72.774,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,2.0,3,,,,,,,,,0.843,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,0.361,,,,,,,,,,,,,200.844,1.656,0.218,0.05,197.185,0.014,196.788,0.022,129188,496.822,,,,,,,,,,,,,,,129129.333,531.749,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,3.0,3,,,,,,,,,0.836,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,3.067,0.306,,,,,,,,,,,,,201.459,0.684,0.245,0.023,197.207,0.024,196.781,0.018,128146.667,474.507,,,,,,,,,,,,,,,128181.333,432.598,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,5.0,3,,,,,,,,,0.928,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,4.267,1.026,,,,,,,,,,,,,204.635,5.747,0.326,0.164,197.221,0.042,196.784,0.043,126670.667,1413.401,,,,,,,,,,,,,,,126644,1352.562,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,10.0,3,,,,,,,,,0.82,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,9.433,1.193,,,,,,,,,,,,,201.344,0.778,0.226,0.016,197.185,0.014,196.793,0.021,120057.333,1630.236,,,,,,,,,,,,,,,120030.667,1634.823,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,20.0,3,,,,,,,,,0.776,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,0.0,,,,,,,,,,,,,201.03,0.93,0.236,0.057,197.174,0.028,196.764,0.032,104686.667,59.911,,,,,,,,,,,,,,,104462.667,113.443,0
HIGH-arm,arm64,wireguard-udp,web-mix,0.0,3,438.69,5.047,415.363,3.529,397.223,0.604,12.71,1.529,3.443,0.501,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,198.427,0.889,197.0,0.123,196.667,0.015,2076.397,4.31,0.322,0.191,,,,,,,,,,,1693169.333,13245.686,635.687,5.022,612.52,3.489,595.13,1.085,,,,,,,12.507,1.509,338810.667,26792.889,0
HIGH-arm,arm64,wireguard-udp,web-mix,0.5,3,964.44,515.59,422.383,11.211,396.95,0.329,80.667,70.128,3.419,0.598,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,601.293,19.165,199.917,1.167,196.68,0.02,1639.19,165.253,29.673,6.146,,,,,,,,,,,1704934.667,14438.067,1163.45,517.149,622.383,13.45,594.707,0.275,,,,,,,85.913,71.427,346789.333,25209.239,0
HIGH-arm,arm64,wireguard-udp,web-mix,1.0,3,1083.743,573.775,431.69,19.567,397.753,0.674,112.227,90.876,4.439,1.618,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,790.703,20.321,204.85,2.346,196.687,0.015,1547.707,120.972,50.75,9.361,,,,,,,,,,,1715153.333,7867.499,1276.193,569.532,635.313,26.619,595.943,0.95,,,,,,,116.287,94.358,360618.667,18911.061,0
HIGH-arm,arm64,wireguard-udp,web-mix,2.0,3,1293.333,237.557,458.0,24.867,397.93,1.812,186.073,65.208,3.126,0.098,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,869.983,138.61,208.317,2.292,196.69,0.0,1457.13,8.128,67.813,10.112,,,,,,,,,,,1700014.667,10246.779,1493.333,237.557,666.633,20.22,595.633,1.834,,,,,,,195.507,56.028,318938.667,15254.826,0
HIGH-arm,arm64,wireguard-udp,web-mix,3.0,3,1646.667,715.565,444.167,20.994,398.213,0.932,185.563,104.904,2.72,0.271,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,1443.823,751.747,217.643,0.769,196.68,0.01,1167.94,78.571,103.057,28.83,,,,,,,,,,,1698914.667,5378.128,2333.333,592.818,668.937,9.942,597.02,1.685,,,,,,,262.837,74.668,329520,19005.198,0
HIGH-arm,arm64,wireguard-udp,web-mix,5.0,3,1626.667,349.333,494.777,22.397,397.237,0.317,291.457,42.177,2.333,0.206,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,1066.667,37.859,236.537,4.872,196.693,0.006,1161.127,150.937,122.997,11.225,,,,,,,,,,,1702640,12811.102,1956.667,309.892,734.567,36.194,595.047,0.332,,,,,,,319.45,12.256,325797.333,23197.028,0
